Job Name,Company Name,Tag,Level,Location
Fullstack Developer,AASC AUDITING FIRM COMPANY LIMITED,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Hãng Kiểm toán AASC, Số 1, Lê Phụng Hiểu, Tràng Tiền, Hoàn Kiếm"
Fullstack Developer,AASC AUDITING FIRM COMPANY LIMITED,Nghỉ thứ 7,Trưởng nhóm,"- Hà Nội: Hãng Kiểm toán AASC, Số 1, Lê Phụng Hiểu, Tràng Tiền, Hoàn Kiếm"
Android Developer,CÔNG TY CỔ PHẦN TRUYỀN HÌNH TƯƠNG TÁC VIỆT NAM,Chuyên môn Mobile Developer,Trưởng nhóm,"- Hà Nội: Tòa VTVcab, 3/81 Ngọc Khánh, Ba Đình"
Android Developer,CÔNG TY CỔ PHẦN TRUYỀN HÌNH TƯƠNG TÁC VIỆT NAM,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Tòa VTVcab, 3/81 Ngọc Khánh, Ba Đình"
Kĩ Sư,CÔNG TY TNHH TECHVICO,Chuyên môn Kỹ sư IoT (IoT Engineer),Nhân viên,"- Hà Nội: Tầng 4, Tòa Tâm Bình, số 59, ngõ 5 phố Láng Hạ, Phường Thành Công, Ba Đình"
Kĩ Sư,CÔNG TY TNHH TECHVICO,IT - Phần mềm,Nhân viên,"- Hà Nội: Tầng 4, Tòa Tâm Bình, số 59, ngõ 5 phố Láng Hạ, Phường Thành Công, Ba Đình"
Kĩ Sư,CÔNG TY TNHH TECHVICO,Tiếng Anh Giao tiếp cơ bản,Nhân viên,"- Hà Nội: Tầng 4, Tòa Tâm Bình, số 59, ngõ 5 phố Láng Hạ, Phường Thành Công, Ba Đình"
Kĩ Sư,CÔNG TY TNHH TECHVICO,Tiếng Anh Đọc hiểu,Nhân viên,"- Hà Nội: Tầng 4, Tòa Tâm Bình, số 59, ngõ 5 phố Láng Hạ, Phường Thành Công, Ba Đình"
Kĩ Sư,CÔNG TY TNHH TECHVICO,Tuổi 23 - 30,Nhân viên,"- Hà Nội: Tầng 4, Tòa Tâm Bình, số 59, ngõ 5 phố Láng Hạ, Phường Thành Công, Ba Đình"
Software Developer Java,Tek Experts Vietnam,Chuyên môn Software Engineer,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Software Developer Java,Tek Experts Vietnam,IT - Phần mềm,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Software Developer Java,Tek Experts Vietnam,Nghỉ thứ 7,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Software Developer Java,Tek Experts Vietnam,Tiếng Anh TOEIC 700,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Software Developer Java,Tek Experts Vietnam,Tiếng Anh Giao tiếp thành thạo,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Software Developer Java,Tek Experts Vietnam,Tiếng Anh IELTS 6.0,Nhân viên,"- Hà Nội: Lotte Center, Ba Đình"
Frontend Developer,CÔNG TY TNHH NEO TALENT,Chuyên môn Frontend Developer,Trưởng nhóm,"- Hà Nội: Nguyễn Hoàng, Bắc Từ Liêm"
Frontend Developer,CÔNG TY TNHH NEO TALENT,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Nguyễn Hoàng, Bắc Từ Liêm"
Frontend Developer,CÔNG TY TNHH NEO TALENT,Nghỉ thứ 7,Trưởng nhóm,"- Hà Nội: Nguyễn Hoàng, Bắc Từ Liêm"
Thực Tập Sinh Unity Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,Chuyên môn Game Developer,Thực tập sinh,- Hà Nội: Hà Đông
Thực Tập Sinh Unity Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,IT - Phần mềm,Thực tập sinh,- Hà Nội: Hà Đông
Thực Tập Sinh Unity Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,Game,Thực tập sinh,- Hà Nội: Hà Đông
Thực Tập Sinh Unity Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,IT - Phần cứng và máy tính,Thực tập sinh,- Hà Nội: Hà Đông
